form_record_id,parent_form_id,parent_field_id,parent_record_id,Sample Type,Sample Barcode,Sample Labels (Add Back in Office),Sample Label
rec-9ca92b3173ff484aa6f2162aeddac450,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-04c061a3378341839019ee9dfb554bdc,Hair,14512,,cl-EV203
rec-baa635182249427fa6250d15988c4a9a,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-83f68d6d137b4f5cb7beabb55461538f,Hair,15336,,cl-EV201
rec-1e306e6ae56a432e924c01f892b024cd,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-83f68d6d137b4f5cb7beabb55461538f,Tissue,15334,,cl-EV202
rec-c7e17746fd4c4806b293cdffdf210445,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-ac60cfbeaca14a0ba3ae908e20bc692f,Hair,15335,,cl-EV198
rec-154d7953731f44a4aaf450929c3c7a12,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-ac60cfbeaca14a0ba3ae908e20bc692f,Tissue,15333,,cl-EV199
rec-c915b13e4e98432e9ad7e1c46b6a98f8,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-ac60cfbeaca14a0ba3ae908e20bc692f,Tooth,14672,,cl-EV200
rec-7ad040fa369e43239bb5a73ee85fc62d,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-908afe99906a47b696ebe88d13587695,Hair,14669,,cl-EV195
rec-9594dcb937534a6893057a44bc55388f,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-908afe99906a47b696ebe88d13587695,Tissue,14668,,cl-EV196
rec-e8a0071215e146158f16397f0e9a9094,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-908afe99906a47b696ebe88d13587695,Tooth,14670,,cl-EV197
rec-8562a3040d1e42b79e46b2ecb0b1fcf9,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-d8eb8968291c4e15b5626610c994869f,Hair,14627,,cl-EV191
rec-1b44228b1bf04f0ea99fde90da9aa4d3,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-d8eb8968291c4e15b5626610c994869f,Hair,14628,,cl-EV192
rec-8a06dde72a324d06870ba2ef4c5a93a5,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-d8eb8968291c4e15b5626610c994869f,Tissue,14629,,cl-EV193
